student_id,q0,q1,q1_other,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
1,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
2,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,somewhat- depends on professor ,n/a,Easy,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,,,
3,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,,,Easy,Sometimes,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,,,
4,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
5,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,Both in person & lecture capture,Not as interactive as in person class,Higher threshold for deciding to speak up.,Difficult,Rarely,Strongly agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,,,
6,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,They are good. ,It was harder than in person I would think but was still good.,Difficult,Rarely,Agree,Disagree,Disagree,Agree,Strongly disagree,Neutral,Strongly agree,,,
7,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,,Very easy,Often,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,"I do not have a strong sense of belonging to this institution. I still do not know where many of the buildings are located, there are many of my classmates whom I have never interacted with (virtually or in-person), and I have been extremely limited in exploring extra-curricular experiences to enrich my education (i.e. shadowing, finding mentors).",,,
8,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,Very interactive,Better than in person,Easy,Never,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly agree,,,
9,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,Interactive enough ,It was great. I would honestly prefer zoom small groups over in-person small groups because of the convenience of screen sharing. This is especially true for histology sessions.,Very easy,Never,Agree,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly agree,,,
10,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,Both in person & lecture capture,"Depends on the lecturer, but they are mostly not interactive",Horrible. Zoom allowed some students to not participate by keeping their cameras off and staying muted.,Difficult,Never,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,,,
11,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,"Was not in preclinical at the time, but not very interactive in my PhD courses. ","Not as strong as in-person, some students did not participate (again, grad school, not preclinical). ",Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,
12,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,it was fine,it was fine,Easy,Rarely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,,,,
13,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,Somewhat more able to ask questions freely,It was nice to be with a smaller group of classmates but it also made it harder to connect with other classmates,Very difficult,Rarely,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,,,
14,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,Is interactive as in person would be.,"Amazing, I prefer to continue with small groups via Zoom.",Very easy,Never,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly agree,,,
15,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,They were interactive enough for me,It was not ideal but definitely manageable. I feel like I had a valuable online small group experience because my small group put in the effort to meet in person as well. ,Difficult,Rarely,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,,,
16,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Lecture capture,Minimally ,Moderate ,Difficult,Rarely,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,,,
17,I am willing to take respond to the COVID-19 survey questions.,All virtual course,Lecture capture,Pretty interactive,Good because of ease of accessibility,Neither difficult nor easy,Rarely,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Agree,,,
18,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,In person,All days,"Lectures are somewhat interactive. Even in zoom I am quite involved in lecture, but I feel that many folks are less interactive in zoom lecture.","It was quite good. I enjoyed my small group, and we thrived via zoom.",Very easy,Rarely,Strongly agree,Neutral,Agree,Neutral,Strongly disagree,Disagree,Strongly agree,,
19,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
20,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,It was fine,Difficult,Never,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,,,
21,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,,Neither difficult nor easy,Sometimes,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,,,,
22,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Both in person & lecture capture,not very,great!,Neither difficult nor easy,Never,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Agree,,,
23,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,"Somewhat, usually interactions limited to a few students. ","Great within my small group, not as good when small groups came together bc people did not speak up much.",Easy,Never,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,,,
24,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,,,Difficult,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,,,
25,I do not want to respond to the COVID-19 survey questions.,,,,,,,,,,,,,,,,
26,I am willing to take respond to the COVID-19 survey questions.,Recorded lecture and in-person small groups,Lecture capture,did not do - application / individualization phase during covid,did not do - application / individualization phase during covid,,,,,,,,,,,,
27,I am willing to take respond to the COVID-19 survey questions.,All in-person lectures and small groups,In person,All days,"the chat feature was very helpful, I felt that it was interactive",fine,Easy,Rarely,Strongly agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,,
28,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Both in person & lecture capture,Fairly,Not bad,Easy,Sometimes,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,,,
29,I am willing to take respond to the COVID-19 survey questions.,Live stream lecture and in-person small groups,Virtual real-time lecture,"Not very interactive, although some are more than others depending on the lecturer","It was ok, definitely convinient. But in person is much better.",Easy,Rarely,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,,,
